"","X","trigram","trigram_d_freq","trigram_r_freq","trigram_total","chisq()"
"89982",89982,"presid ask unanim",3968,1342,5310,0.000525619748674967
"81833",81833,"mr presid ask",3305,1114,4419,0.000440162073776925
"19113",19113,"ask unanim consent",6009,2900,8909,0.000437185749667867
"69142",69142,"health care law",150,1451,1601,0.000429848220736939
"79862",79862,"meet session senat",1075,137,1212,0.00029529879566147
"20568",20568,"author meet session",1030,133,1163,0.000281442595591211
"106663",106663,"unanim consent senat",942,164,1106,0.000222648108370538
"106627",106627,"unanim consent member",9,573,582,0.00022249923070178
"97689",97689,"senat offic build",708,64,772,0.000218648656539602
"72923",72923,"interven action debat",646,53,699,0.000204768601053044
"106594",106594,"unanim consent committe",832,143,975,0.00019811546163268
"42378",42378,"clerk read titl",2,467,469,0.00018770954659137
"6069",6069,"afford care act",2586,1254,3840,0.000187343063848355
"75778",75778,"legisl day revis",8,463,471,0.000178959237952292
"58031",58031,"day revis extend",8,461,469,0.00017814632140811
"60280",60280,"dirksen senat offic",542,42,584,0.000174268699342341
"102799",102799,"tabl interven action",510,38,548,0.000165506397287191
"90121",90121,"presid health care",6,424,430,0.00016544670204922
"51731",51731,"consent senat proceed",575,66,641,0.000164527876256052
"79587",79587,"may legisl day",5,411,416,0.000161339303168755
"80089",80089,"member may legisl",5,411,416,0.000161339303168755
"51639",51639,"consent member may",6,410,416,0.000159753668531095
"49196",49196,"comprehens immigr reform",571,76,647,0.000154157581147866
"92594",92594,"rais minimum wage",487,45,532,0.00014950397832739
"82307",82307,"mr speaker move",43,469,512,0.000144304442393964
"74540",74540,"laid upon tabl",584,94,678,0.00014414672243572
"43553",43553,"colleagu join recogn",461,40,501,0.000144033253500446
"107718",107718,"upon tabl interven",456,38,494,0.000144001042720285
"72175",72175,"includ extran materi",5,360,365,0.000140595804583941
"93922",93922,"remark includ extran",4,355,359,0.000139743459294679
"83514",83514,"necessarili absent senat",2,349,351,0.000139690794106795
"63045",63045,"extend remark includ",4,353,357,0.000138929798299789
"18744",18744,"ask colleagu join",1061,372,1433,0.000134720418741279
"89087",89087,"period morn busi",444,43,487,0.00013443226730031
"91022",91022,"proceed execut session",352,8,360,0.000133852213945681
"100062",100062,"speaker ask colleagu",623,131,754,0.000130665459284129
"95598",95598,"rule pass bill",2,318,320,0.000127073970286585
"49655",49655,"conduct hear entitl",462,63,525,0.000123455387879996
"31297",31297,"boy scout america",37,394,431,0.000120401705179858
"69184",69184,"health care plan",54,425,479,0.000116993112002995
"87411",87411,"pass bill hr",3,290,293,0.000114483505840238
"100068",100068,"speaker ask unanim",240,764,1004,0.000111275100939495
"62849",62849,"execut session consid",289,7,296,0.000109408650207676
"51982",51982,"consid made laid",391,51,442,0.000106488620096366
"93399",93399,"reconsid consid made",390,51,441,0.000106103319825101
"81446",81446,"motion reconsid consid",390,52,442,0.000105239497528453
"94006",94006,"repeal afford care",282,16,298,9.66921243439861e-05
"101890",101890,"student loan debt",314,31,345,9.45307089022594e-05
"65173",65173,"follow leader remark",281,20,301,9.21630882714271e-05
"77922",77922,"made laid upon",381,64,445,9.19442458839673e-05
"97747",97747,"senat proceed execut",241,6,247,9.10562876758646e-05
"106475",106475,"two leader designe",229,3,232,8.96619182118276e-05
"97728",97728,"senat permit speak",322,41,363,8.85759046193343e-05
"81385",81385,"morn busi senat",304,34,338,8.78281395851492e-05
"77698",77698,"madam presid ask",860,353,1213,8.62011788804407e-05
"82410",82410,"mr speaker rise",3867,2691,6558,8.5222412438721e-05
"97751",97751,"senat proceed vote",298,35,333,8.45848870221618e-05
"90573",90573,"presid unit state",325,800,1125,8.15904905226104e-05
"94584",94584,"reserv balanc time",961,1688,2649,8.10179707128998e-05
"6994",6994,"agre motion reconsid",301,42,343,7.96389652852749e-05
"22299",22299,"balanc budget amend",14,233,247,7.90792324712022e-05
"106656",106656,"unanim consent request",429,107,536,7.87525586124556e-05
"46827",46827,"committe energi natur",232,14,246,7.86773239878882e-05
"19971",19971,"attain hard work",192,1,193,7.6985558049901e-05
"75486",75486,"leader remark senat",239,19,258,7.63995824207293e-05
"91744",91744,"proudli ask join",3,196,199,7.62356650230707e-05
"86032",86032,"offic build conduct",299,46,345,7.55511511708815e-05
"58915",58915,"defeat previou question",191,2,193,7.53817362216089e-05
"60019",60019,"determin hard work",196,4,200,7.50703744931992e-05
"100519",100519,"special young man",2,184,186,7.25326232339885e-05
"94929",94929,"revis extend remark",217,597,814,7.21959537329277e-05
"109302",109302,"vote right act",256,31,287,7.1834499844114e-05
"102839",102839,"take activ part",3,185,188,7.17608241465749e-05
"18884",18884,"ask join commend",2,181,183,7.13115896415238e-05
"97746",97746,"senat proceed consider",282,44,326,7.07563694169882e-05
"96584",96584,"scout america troop",4,182,186,6.93794117421112e-05
"33133",33133,"build conduct hear",260,36,296,6.90318448873343e-05
"61759",61759,"energi natur resourc",299,55,354,6.84842573985517e-05
"18879",18879,"ask immedi consider",25,232,257,6.790057119041e-05
"95293",95293,"rise today honor",1092,566,1658,6.78435450830026e-05
"85796",85796,"obama took offic",25,231,256,6.75088743216388e-05
"82253",82253,"mr speaker januari",13,201,214,6.72652272163843e-05
"58018",58018,"day presid obama",8,186,194,6.6517754595741e-05
"32010",32010,"broken immigr system",325,72,397,6.56511086623558e-05
"91026",91026,"proceed period morn",199,14,213,6.54414739721528e-05
"106582",106582,"unanim consent adjourn",172,4,176,6.53152746017088e-05
"88080",88080,"paycheck fair act",186,11,197,6.33151418885528e-05
"94834",94834,"resum legisl session",167,4,171,6.32835180117029e-05
"68921",68921,"hard work persever",198,16,214,6.3040215773979e-05
"83000",83000,"nation institut health",359,95,454,6.25047846978973e-05
"97788",97788,"senat resum legisl",165,4,169,6.24708801711862e-05
"102707",102707,"suspend rule pass",94,356,450,6.2108845361245e-05
"80080",80080,"member legisl day",3,161,164,6.19991246127139e-05
"90355",90355,"presid obama took",34,237,271,6.19271669544012e-05
"81447",81447,"motion reconsid laid",231,32,263,6.13215436704055e-05
"51638",51638,"consent member legisl",3,159,162,6.11857764467535e-05
"114251",114251,"yield minut gentlewoman",331,84,415,5.98587689776718e-05
"51182",51182,"congression black caucu",174,10,184,5.95352919432984e-05
"51544",51544,"consent adjourn previou",149,1,150,5.94777916688307e-05
"71630",71630,"immedi notifi senat",162,6,168,5.90001374344916e-05
"84651",84651,"notifi senat action",162,6,168,5.90001374344916e-05
"84139",84139,"new york citi",394,123,517,5.78330167796123e-05
"75110",75110,"later day follow",187,17,204,5.76981213108503e-05
"81879",81879,"mr presid follow",158,6,164,5.7379737824553e-05
"51714",51714,"consent resolut agre",214,30,244,5.65091248423444e-05
"106657",106657,"unanim consent resolut",214,30,244,5.65091248423444e-05
"97750",97750,"senat proceed period",176,14,190,5.62571669095821e-05
"13241",13241,"american disabl act",155,6,161,5.61647053809208e-05
"65181",65181,"follow prayer pledg",208,28,236,5.59126422542723e-05
"104952",104952,"time equal divid",170,12,182,5.58661138628281e-05
"95636",95636,"rule xxii waiv",143,2,145,5.58464460757191e-05
"72318",72318,"increas minimum wage",223,35,258,5.57906372123607e-05
"57907",57907,"day follow leader",182,17,199,5.57200456456039e-05
"73873",73873,"journal proceed approv",205,27,232,5.56200214704273e-05
"105249",105249,"time two leader",205,27,232,5.56200214704273e-05
"49001",49001,"complet busi today",202,26,228,5.53314109206887e-05
"51721",51721,"consent senat complet",202,26,228,5.53314109206887e-05
"97270",97270,"senat complet busi",202,26,228,5.53314109206887e-05
"70098",70098,"hispan heritag month",150,5,155,5.52489865078928e-05
"91010",91010,"proceed approv date",204,27,231,5.52349819174822e-05
"94601",94601,"reserv use later",204,27,231,5.52349819174822e-05
"106476",106476,"two leader reserv",204,27,231,5.52349819174822e-05
"108439",108439,"use later day",204,27,231,5.52349819174822e-05
"17370",17370,"approv date time",203,27,230,5.48501341177941e-05
"57805",57805,"date time two",203,27,230,5.48501341177941e-05
"75490",75490,"leader reserv use",203,27,230,5.48501341177941e-05
"5838",5838,"affair author meet",198,25,223,5.46602046828312e-05
"74183",74183,"keyston xl pipelin",144,418,562,5.43836962654613e-05
"62093",62093,"equal divid control",208,30,238,5.42174383947562e-05
"33574",33574,"busi come senat",201,27,228,5.40810239228684e-05
"94611",94611,"resolut agre preambl",205,29,234,5.39122613739065e-05
"59674",59674,"depart homeland secur",1002,549,1551,5.37976192398511e-05
"34061",34061,"busi today adjourn",195,25,220,5.35008479106912e-05
"107051",107051,"unit state congress",134,398,532,5.33354623856277e-05
"45459",45459,"come senat ask",199,27,226,5.33127116238889e-05
"93401",93401,"reconsid laid upon",201,28,229,5.32276691843718e-05
"3668",3668,"action debat motion",142,4,146,5.31288118990533e-05
"97787",97787,"senat resum consider",189,23,212,5.29383090839241e-05
"103560",103560,"tea parti republican",135,2,137,5.25911029962274e-05
"92288",92288,"put food tabl",229,42,271,5.25499551367045e-05
"62106",62106,"equal pay equal",142,5,147,5.20053538543134e-05
"7030",7030,"agre preambl agre",204,31,235,5.18682844353901e-05
"87943",87943,"pay equal work",141,5,146,5.16000055075031e-05
"58379",58379,"debat motion order",135,3,138,5.14277838357044e-05
"89857",89857,"preambl agre motion",202,31,233,5.1111061573381e-05
"100307",100307,"speaker rise today",3103,2286,5389,5.01268640743369e-05
"71675",71675,"immigr reform bill",212,37,249,5.00895185706135e-05
"5005",5005,"adjourn previou order",186,25,211,5.00333494904345e-05
"62963",62963,"expir journal proceed",190,27,217,4.98657747210672e-05
"70664",70664,"hour deem expir",190,27,217,4.98657747210672e-05
"81387",81387,"morn hour deem",190,27,217,4.98657747210672e-05
"89133",89133,"permit speak minut",157,13,170,4.96807460995752e-05
"58861",58861,"deem expir journal",189,27,216,4.94838981723483e-05
"89511",89511,"pledg morn hour",189,27,216,4.94838981723483e-05
"89855",89855,"prayer pledg morn",189,27,216,4.94838981723483e-05
"97153",97153,"senat ask unanim",206,35,241,4.94139455838841e-05
"97726",97726,"senat period morn",182,24,206,4.93559924278443e-05
"26830",26830,"bill hr amend",2,127,129,4.93360217685961e-05
"42795",42795,"clotur motion desk",147,10,157,4.8692315752221e-05
"81926",81926,"mr presid move",214,40,254,4.85436281883889e-05
"90194",90194,"presid move proceed",156,14,170,4.83103088518439e-05
"100046",100046,"speak therein minut",192,30,222,4.81461423941801e-05
"51636",51636,"consent mandatori quorum",134,6,140,4.76672256558431e-05
"106625",106625,"unanim consent mandatori",131,6,137,4.64546319360084e-05
"3773",3773,"action senat resum",125,4,129,4.6229036461697e-05
"42139",42139,"clean continu resolut",135,8,143,4.59407185899159e-05
"18858",18858,"ask given permiss",172,24,196,4.55161587584387e-05
"67069",67069,"given permiss revis",172,24,196,4.55161587584387e-05
"89125",89125,"permiss revis extend",172,24,196,4.55161587584387e-05
"97870",97870,"senat south carolina",18,158,176,4.535782958452e-05
"90792",90792,"print record presid",120,3,123,4.53318672586682e-05
"97107",97107,"senat action senat",127,6,133,4.48384702757538e-05
"110752",110752,"western new york",134,9,143,4.45051601443014e-05
"112690",112690,"would like announc",117,3,120,4.41130458651459e-05
"41778",41778,"civil right movement",179,29,208,4.40566079817626e-05
"69976",69976,"high school receiv",127,7,134,4.37712400911638e-05
"67098",67098,"global war terror",26,171,197,4.34677831251207e-05
"82086",82086,"mr speaker behalf",28,175,203,4.33543979417048e-05
"90131",90131,"presid immedi notifi",122,6,128,4.28193776631719e-05
"113836",113836,"year new budget",291,91,382,4.26379309415637e-05
"92555",92555,"quorum rule xxii",110,2,112,4.24201621031634e-05
"70808",70808,"hous join congratul",6,121,127,4.24157189521266e-05
"48093",48093,"commun health center",131,10,141,4.22940300212976e-05
"96879",96879,"secur government affair",159,22,181,4.22346370705498e-05
"20386",20386,"author b outlay",288,90,378,4.22318588993173e-05
"32321",32321,"budget author b",288,90,378,4.22318588993173e-05
"64798",64798,"fiscal year new",291,92,383,4.21023503947048e-05
"78928",78928,"mandatori quorum rule",109,2,111,4.20134110256581e-05
"111300",111300,"women histori month",147,17,164,4.1971847698881e-05
"65886",65886,"full faith credit",157,22,179,4.14688292830008e-05
"79774",79774,"medic devic tax",23,159,182,4.13915895692545e-05
"89135",89135,"permit speak therein",176,31,207,4.13673845499834e-05
"87492",87492,"pass comprehens immigr",138,14,152,4.12022928250227e-05
"106672",106672,"unanim consent time",154,21,175,4.11694083303306e-05
"81153",81153,"missionari baptist church",133,12,145,4.11270970773403e-05
"82359",82359,"mr speaker presid",19,149,168,4.09723176628414e-05
"98707",98707,"session senat june",117,6,123,4.08016609317007e-05
"66440",66440,"gentlewoman california ms",139,15,154,4.06670986960625e-05
"37944",37944,"center diseas control",180,34,214,4.05677224803205e-05
"109277",109277,"vote previou question",111,4,115,4.05518767267418e-05
"93925",93925,"remark senat period",124,9,133,4.05019308378419e-05
"91421",91421,"promis american peopl",4,110,114,4.01465890988964e-05
"72904",72904,"intern revenu servic",51,212,263,4.0138272606262e-05
"83919",83919,"new budget author",302,103,405,3.9814238228263e-05
"70319",70319,"homeland secur government",159,25,184,3.97462709002776e-05
"90024",90024,"presid busi come",140,17,157,3.92490833297113e-05
"43479",43479,"colleagu hous join",15,135,150,3.91015430985739e-05
"71753",71753,"impact climat chang",107,4,111,3.89309352407378e-05
"34026",34026,"busi senat permit",154,24,178,3.86700293784804e-05
"21417",21417,"b outlay fiscal",261,81,342,3.85779935165678e-05
"101359",101359,"state rhode island",100,2,102,3.83530691398686e-05
"59188",59188,"delay employ mandat",5,107,112,3.78377371846118e-05
"51284",51284,"congression district texa",1,95,96,3.74917578039096e-05
"107987",107987,"us district court",157,27,184,3.74087757972093e-05
"47824",47824,"commun across state",103,4,107,3.73105886634597e-05
"61243",61243,"effect climat chang",97,2,99,3.71331466017981e-05
"64777",64777,"fiscal year fiscal",266,87,353,3.69612157429336e-05
"93824",93824,"relat author meet",120,11,131,3.69414935353397e-05
"87066",87066,"outlay fiscal year",264,86,350,3.68628105527e-05
"65351",65351,"foreign relat author",122,12,134,3.67800003543807e-05
"51582",51582,"consent committe judiciari",121,12,133,3.63858934052476e-05
"42462",42462,"climat chang real",116,10,126,3.63225716597553e-05
"84202",84202,"new york state",162,31,193,3.62147189412119e-05
"97671",97671,"senat new jersey",143,22,165,3.61411108651302e-05
"10793",10793,"amend aye rollcal",94,2,96,3.59133361308613e-05
"81101",81101,"minut gentlewoman california",94,2,96,3.59133361308613e-05
"74092",74092,"keep health care",9,112,121,3.57130660591548e-05
"94322",94322,"republican leader senat",121,13,134,3.54547044738427e-05
"63274",63274,"faith credit unit",115,11,126,3.49648393620428e-05
"62096",62096,"equal divid two",97,4,101,3.48813430093307e-05
"63089",63089,"extrem weather event",109,9,118,3.45189552739193e-05
"79454",79454,"martin luther king",230,71,301,3.42034766751802e-05
"53320",53320,"continu reserv balanc",63,216,279,3.41690448206952e-05
"64851",64851,"fix broken immigr",156,31,187,3.40315273934431e-05
"86941",86941,"order quorum call",1003,633,1636,3.40214966886849e-05
"4634",4634,"address climat chang",92,3,95,3.39631737961985e-05
"81384",81384,"morn busi pm",92,3,95,3.39631737961985e-05
"101401",101401,"state south dakota",8,105,113,3.39162110984489e-05
"51658",51658,"consent order quorum",1001,632,1633,3.39001335368772e-05
"92552",92552,"quorum call rescind",1017,645,1662,3.38512184298896e-05
"46919",46919,"committe health educ",159,33,192,3.36775298024512e-05
"64516",64516,"first african american",144,26,170,3.33600843311384e-05
"70263",70263,"home state senat",106,9,115,3.33262824807331e-05
"47008",47008,"committe judiciari author",101,7,108,3.33255181415427e-05
"73919",73919,"judiciari author meet",101,7,108,3.33255181415427e-05
"57131",57131,"credit unit state",120,15,135,3.32640753641622e-05
