"","X","trigram","trigram_d_freq","trigram_r_freq","trigram_total","chisq()"
"60721",60721,"dr martin luther",122,16,138,3.31636007333548e-05
"106668",106668,"unanim consent subcommitte",108,10,118,3.31520046450721e-05
"94295",94295,"republican govern shutdown",90,3,93,3.31519041292202e-05
"93421",93421,"record presid immedi",87,2,89,3.30676162643513e-05
"99948",99948,"south carolina mr",11,110,121,3.29930964695802e-05
"60853",60853,"earli childhood educ",119,15,134,3.28770647795852e-05
"63059",63059,"extend unemploy insur",134,22,156,3.27514796617427e-05
"97525",97525,"senat kansa mr",3,89,92,3.27463219313478e-05
"76527",76527,"like health care",13,114,127,3.27170320628086e-05
"60508",60508,"divid two leader",88,3,91,3.23407764100899e-05
"106640",106640,"unanim consent order",1014,652,1666,3.19786011531318e-05
"113701",113701,"year fiscal year",269,99,368,3.1978416229551e-05
"82362",82362,"mr speaker privileg",13,112,125,3.19371612362588e-05
"92240",92240,"pursuant hous resolut",8,100,108,3.19224972329128e-05
"96595",96595,"sd366 dirksen senat",92,5,97,3.17846599025962e-05
"95671",95671,"russel senat offic",125,19,144,3.17815509536245e-05
"105116",105116,"time pass motion",165,39,204,3.16960337000366e-05
"68252",68252,"government affair author",99,8,107,3.15242306623926e-05
"97895",97895,"senat tennesse mr",2,83,85,3.1441863627299e-05
"30153",30153,"black histori month",91,5,96,3.1381738424368e-05
"95473",95473,"room sd366 dirksen",91,5,96,3.1381738424368e-05
"87635",87635,"pass motion reconsid",165,40,205,3.10427102483406e-05
"98712",98712,"set asid day",82,2,84,3.1035474265331e-05
"59240",59240,"delta sigma theta",79,1,80,3.09784040617761e-05
"94616",94616,"resolut ask immedi",16,116,132,3.08573259189801e-05
"95440",95440,"rollcal vote motion",87,4,91,3.08367624483196e-05
"81422",81422,"motion invok clotur",111,14,125,3.06598051292684e-05
"89529",89529,"pm senat proceed",89,5,94,3.05761717240017e-05
"22405",22405,"balanc time move",1,78,79,3.05713566478301e-05
"61486",61486,"emerg unemploy insur",91,6,97,3.03400935125191e-05
"91406",91406,"project mr speaker",4,85,89,3.00285993509216e-05
"100102",100102,"speaker demand record",107,13,120,2.99925264130832e-05
"113368",113368,"ye rollcal vote",107,13,120,2.99925264130832e-05
"43539",43539,"colleagu join honor",208,66,274,2.99697389882524e-05
"81016",81016,"minimum wage worker",82,3,85,2.99083479496987e-05
"77610",77610,"luther king jr",169,44,213,2.98764946914503e-05
"65733",65733,"friend across aisl",43,167,210,2.98204976985517e-05
"68466",68466,"great state iowa",2,79,81,2.98164354497563e-05
"76919",76919,"live within mean",2,79,81,2.98164354497563e-05
"71042",71042,"hous republican leadership",92,7,99,2.97270896618273e-05
"87225",87225,"part b amend",89,6,95,2.9538228037118e-05
"96594",96594,"sd226 dirksen senat",89,6,95,2.9538228037118e-05
"62105",62105,"equal pay act",94,8,102,2.95355372093365e-05
"65174",65174,"follow morn busi",101,11,112,2.94584459049746e-05
"92952",92952,"read third time",171,46,217,2.93256325046737e-05
"82374",82374,"mr speaker pursuant",13,105,118,2.92168437438453e-05
"105182",105182,"time senat proceed",109,15,124,2.90248836535162e-05
"59250",59250,"demand record vote",274,109,383,2.8944634971234e-05
"95250",95250,"rise strong opposit",104,13,117,2.88294995946906e-05
"100281",100281,"speaker reserv balanc",176,373,549,2.87786835141269e-05
"111297",111297,"women health care",79,3,82,2.86927445786585e-05
"67244",67244,"go confer budget",96,10,106,2.84208496834685e-05
"101317",101317,"state new york",118,20,138,2.83466733217462e-05
"114178",114178,"yield back time",214,73,287,2.82102062498929e-05
"89519",89519,"pm equal divid",88,7,95,2.81318499276428e-05
"82403",82403,"mr speaker reserv",153,337,490,2.8130775984886e-05
"46872",46872,"committe foreign relat",135,29,164,2.7905069866546e-05
"105126",105126,"time pm equal",82,5,87,2.77599259793629e-05
"65352",65352,"foreign relat committe",225,81,306,2.75958263222312e-05
"57589",57589,"cut food stamp",73,2,75,2.73790206818782e-05
"81842",81842,"mr presid busi",111,18,129,2.73092641457016e-05
"95306",95306,"rise today recogn",965,637,1602,2.73046438589504e-05
"81616",81616,"move previou question",4,78,82,2.72024704488805e-05
"65110",65110,"florida mr rubio",2,72,74,2.69728828966204e-05
"51577",51577,"consent committe foreign",120,23,143,2.67999393150548e-05
"104622",104622,"third time pass",135,31,166,2.6538279305956e-05
"38454",38454,"chair gentleman texa",1,68,69,2.6501238787545e-05
"97412",97412,"senat foreign relat",125,26,151,2.64372071932766e-05
"69024",69024,"head start program",119,23,142,2.64351045338082e-05
"63058",63058,"extend unemploy benefit",155,42,197,2.63990545885692e-05
"89528",89528,"pm senat permit",76,4,80,2.63957999106258e-05
"107723",107723,"upon use yield",81,6,87,2.63365801372772e-05
"23738",23738,"behalf unit state",16,104,120,2.62858900569167e-05
"81598",81598,"move hous adjourn",39,149,188,2.62138018407667e-05
"102022",102022,"submit follow proclam",70,2,72,2.6160702208554e-05
"108896",108896,"violenc women act",197,67,264,2.60702335307187e-05
"74086",74086,"keep govern open",237,92,329,2.60236218977441e-05
"51232",51232,"congression district georgia",80,6,86,2.59371124588926e-05
"57928",57928,"day honor recogn",69,2,71,2.57546620626362e-05
"82365",82365,"mr speaker profound",2,69,71,2.57546620626362e-05
"68319",68319,"grant floor privileg",84,8,92,2.55736554185323e-05
"97524",97524,"senat judiciari committe",190,64,254,2.545510110711e-05
"38103",38103,"central valley project",13,95,108,2.53599800796439e-05
"78413",78413,"make impact commun",2,68,70,2.53486573513364e-05
"94596",94596,"reserv point order",2,68,70,2.53486573513364e-05
"78129",78129,"major leader senat",35,139,174,2.53178809546197e-05
"83978",83978,"new health care",15,99,114,2.52113147634223e-05
"109233",109233,"vote motion invok",78,6,84,2.51387341549181e-05
"57800",57800,"date enact act",30,129,159,2.51067877355371e-05
"91644",91644,"protect public health",80,7,87,2.495069076472e-05
"42174",42174,"clean fund bill",75,5,80,2.49497337118184e-05
"66390",66390,"gentleman pennsylvania mr",32,132,164,2.48354128395746e-05
"51579",51579,"consent committe homeland",82,8,90,2.4784230734813e-05
"73347",73347,"jefferson high school",72,4,76,2.47837019787925e-05
"89933",89933,"present vote senat",17,102,119,2.47303355865655e-05
"93927",93927,"remark senat resum",79,7,86,2.45540524081262e-05
"91016",91016,"proceed consider calendar",81,8,89,2.43899414633534e-05
"75254",75254,"law faith execut",3,68,71,2.42400194285226e-05
"78032",78032,"major control first",68,3,71,2.42400194285226e-05
"46807",46807,"committe discharg consider",92,13,105,2.42109279217389e-05
"97581",97581,"senat major leader",46,155,201,2.4074236810194e-05
"95406",95406,"roll call vote",102,18,120,2.39505733783064e-05
"3669",3669,"action debat nomin",64,2,66,2.37250259708118e-05
"95319",95319,"rise today support",136,294,430,2.36384896748971e-05
"114250",114250,"yield minut gentleman",753,1079,1832,2.35797281798608e-05
"33794",33794,"busi leader year",4,69,73,2.35758516768533e-05
"36094",36094,"care act work",69,4,73,2.35758516768533e-05
"19041",19041,"ask second read",74,6,80,2.35444017721323e-05
"100219",100219,"speaker move hous",39,141,180,2.35415241197635e-05
"46959",46959,"committe homeland secur",177,60,237,2.35233871059664e-05
"71349",71349,"hr would vote",81,9,90,2.34626464808748e-05
"72495",72495,"inform regard meet",66,3,69,2.3431369291104e-05
"79859",79859,"meet pleas contact",66,3,69,2.3431369291104e-05
"82373",82373,"mr speaker purpos",3,66,69,2.3431369291104e-05
"93681",93681,"regard meet pleas",66,3,69,2.3431369291104e-05
"102476",102476,"support rule underli",3,66,69,2.3431369291104e-05
"17387",17387,"approv keyston xl",14,92,106,2.337918462334e-05
"71067",71067,"hous resolut call",2,63,65,2.33192241631249e-05
"85918",85918,"offer amend rule",63,2,65,2.33192241631249e-05
"75413",75413,"lay motion tabl",120,28,148,2.32936563805271e-05
"22508",22508,"bank hous urban",98,17,115,2.32387862000308e-05
"97706",97706,"senat pass budget",110,23,133,2.31802733090076e-05
"66529",66529,"get back feet",108,22,130,2.31732437950444e-05
"86663",86663,"open amend process",42,145,187,2.31065903434904e-05
"114170",114170,"yield back balanc",1086,1467,2553,2.30911049162714e-05
"84173",84173,"new york mr",240,101,341,2.30725971905326e-05
"95432",95432,"rollcal vote agre",65,3,68,2.30271748004664e-05
"21512",21512,"back balanc time",1086,1466,2552,2.29790797951936e-05
"97902",97902,"senat texa mr",10,82,92,2.29525328410096e-05
"100242",100242,"speaker parliamentari inquiri",62,2,64,2.29134688401694e-05
"102311",102311,"support home state",62,2,64,2.29134688401694e-05
"59197",59197,"delay individu mandat",12,86,98,2.27608056684238e-05
"46988",46988,"committe indian affair",72,6,78,2.27485726253118e-05
"102802",102802,"tabl motion lay",118,28,146,2.25973207510151e-05
"43523",43523,"colleagu join commend",69,5,74,2.25471282335831e-05
"68120",68120,"govern pay bill",69,5,74,2.25471282335831e-05
"71155",71155,"hous urban affair",96,17,113,2.2496659949561e-05
"95452",95452,"rollcal would vote",83,11,94,2.24641261645727e-05
"86033",86033,"offic build pm",66,4,70,2.23692008398846e-05
"75109",75109,"later day date",6,71,77,2.23510228362017e-05
"64076",64076,"feder minimum wage",87,13,100,2.23055350285603e-05
"95477",95477,"room sd628 dirksen",63,3,66,2.22190669861921e-05
"96599",96599,"sd628 dirksen senat",63,3,66,2.22190669861921e-05
"100130",100130,"speaker great respect",63,3,66,2.22190669861921e-05
"102890",102890,"take care law",3,63,66,2.22190669861921e-05
"58322",58322,"debat equal divid",115,27,142,2.22128308929916e-05
"46641",46641,"committe bank hous",91,15,106,2.21956230086147e-05
"68866",68866,"hard play rule",73,7,80,2.21798040915675e-05
"98051",98051,"send clotur motion",73,7,80,2.21798040915675e-05
"108514",108514,"use yield back",93,16,109,2.21564093512904e-05
"47882",47882,"commun busi leader",5,68,73,2.21473503681493e-05
"106588",106588,"unanim consent bill",95,17,112,2.2126566035292e-05
"82024",82024,"mr presid would",273,126,399,2.20522161553852e-05
"46991",46991,"committe intellig author",84,12,96,2.19960697663499e-05
"72790",72790,"intellig author meet",84,12,96,2.19960697663499e-05
"100097",100097,"speaker continu reserv",30,120,150,2.19946179929478e-05
"42715",42715,"close tax loophol",70,6,76,2.19537290884806e-05
"102105",102105,"suggest absenc quorum",881,599,1480,2.18500628745903e-05
"81060",81060,"minut debat equal",79,10,89,2.17903004892147e-05
"4287",4287,"ad end follow",18,96,114,2.17383275256039e-05
"60817",60817,"due second read",74,8,82,2.16387803643761e-05
"52111",52111,"consider clerk read",1,56,57,2.16183504889158e-05
"81451",81451,"motion tabl motion",117,29,146,2.16041545550446e-05
"75414",75414,"lay tabl agre",115,28,143,2.15590116564619e-05
"81423",81423,"motion lay tabl",115,28,143,2.15590116564619e-05
"80996",80996,"minimum wage hour",76,9,85,2.15123496148369e-05
"36471",36471,"care law faith",3,61,64,2.14113636606472e-05
"51718",51718,"consent select committe",80,11,91,2.13113406904412e-05
"61513",61513,"employ nondiscrimin act",80,11,91,2.13113406904412e-05
"106662",106662,"unanim consent select",80,11,91,2.13113406904412e-05
"63422",63422,"famili medic leav",63,4,67,2.11639117938348e-05
"113258",113258,"would vote ye",243,108,351,2.11434753431748e-05
"74525",74525,"labor pension meet",60,3,63,2.10076758380423e-05
"82154",82154,"mr speaker direct",11,79,90,2.09281013363359e-05
"21928",21928,"back time senat",81,12,93,2.0852981313148e-05
"97761",97761,"senat recess pm",81,12,93,2.0852981313148e-05
"100454",100454,"speaker yield gentleman",131,38,169,2.08445138150762e-05
"78503",78503,"make point order",14,85,99,2.0741073907996e-05
"107034",107034,"unit state code",69,182,251,2.07182090546886e-05
"87946",87946,"pay fair share",89,16,105,2.06729746667115e-05
"102020",102020,"submit earlier today",101,22,123,2.06674105896229e-05
"74589",74589,"land water conserv",91,17,108,2.06530712248855e-05
"94694",94694,"resourc unit state",59,3,62,2.06041043533455e-05
"100618",100618,"spend money nt",3,59,62,2.06041043533455e-05
"90567",90567,"presid took offic",5,64,69,2.05504148405979e-05
"80709",80709,"million american famili",78,11,89,2.05454019945568e-05
"70288",70288,"homeland secur bill",110,27,137,2.04816614020584e-05
"18917",18917,"ask member join",56,2,58,2.0480050611405e-05
"74044",74044,"kansa mr moran",2,56,58,2.0480050611405e-05
"90899",90899,"privat student loan",56,2,58,2.0480050611405e-05
"97574",97574,"senat louisiana mr",2,56,58,2.0480050611405e-05
"106605",106605,"unanim consent follow",80,12,92,2.04730925649746e-05
"74522",74522,"labor pension author",71,8,79,2.04651230452416e-05
"88141",88141,"pension author meet",71,8,79,2.04651230452416e-05
"111696",111696,"work hard play",73,9,82,2.03472094519019e-05
"27625",27625,"bill print record",163,58,221,2.03175481032574e-05
"94833",94833,"resum consider motion",58,3,61,2.02006549770634e-05
"47821",47821,"commun across countri",109,27,136,2.01381184896864e-05
"53971",53971,"control first half",79,12,91,2.0093805578532e-05
"77567",77567,"lower interest rate",70,8,78,2.00747275417122e-05
"90393",90393,"presid offic state",55,2,57,2.00746930655751e-05
"90376",90376,"presid offic know",112,29,141,1.9900524063706e-05
"69282",69282,"health human servic",188,350,538,1.98593216658776e-05
"96708",96708,"secretari homeland secur",48,145,193,1.98557362926323e-05
"87311",87311,"particip polit process",7,67,74,1.98168119240476e-05
"33208",33208,"build pm conduct",54,2,56,1.9669404938389e-05
"33981",33981,"busi pm senat",54,2,56,1.9669404938389e-05
"82338",82338,"mr speaker parliamentari",54,2,56,1.9669404938389e-05
"87873",87873,"patient protect afford",14,82,96,1.96199511187503e-05
"48086",48086,"commun great state",6,64,70,1.95759603603985e-05
"95472",95472,"room sd226 dirksen",64,6,70,1.95759603603985e-05
"51563",51563,"consent bill read",92,19,111,1.95553731640957e-05
"109512",109512,"wall street journal",150,296,446,1.94597099844868e-05
"68626",68626,"grow middl class",61,5,66,1.9355276130194e-05
"83389",83389,"natur resourc author",61,5,66,1.9355276130194e-05
"94664",94664,"resourc author meet",61,5,66,1.9355276130194e-05
"2291",2291,"across state line",13,79,92,1.9286503290015e-05
"113382",113382,"yea rollcal vote",79,13,92,1.9286503290015e-05
"49962",49962,"confirm motion reconsid",53,2,55,1.92641900706311e-05
"59121",59121,"defund afford care",53,2,55,1.92641900706311e-05
"79459",79459,"maryland mr hoyer",53,2,55,1.92641900706311e-05
"51578",51578,"consent committe health",70,9,79,1.91863751200161e-05
"101743",101743,"strengthen middl class",58,4,62,1.91586633591694e-05
"58557",58557,"debt limit increas",7,65,72,1.90321371603754e-05
"85815",85815,"obamacar web site",3,55,58,1.89911031732644e-05
"98526",98526,"servic author meet",100,24,124,1.89732602968209e-05
"51572",51572,"consent committe bank",78,13,91,1.89120803228553e-05
"65700",65700,"free syrian armi",22,96,118,1.89025799079982e-05
"69187",69187,"health care premium",14,80,94,1.88761060132868e-05
"63601",63601,"farm bill take",52,2,54,1.8859052587588e-05
"81123",81123,"minut time equal",52,2,54,1.8859052587588e-05
"99392",99392,"sincer thank appreci",2,52,54,1.8859052587588e-05
"66365",66365,"gentleman maryland mr",86,17,103,1.88281898895579e-05
"40364",40364,"chief inform offic",9,69,78,1.88004732440593e-05
"100343",100343,"speaker thank chairman",9,69,78,1.88004732440593e-05
"103887",103887,"thank chairman yield",9,69,78,1.88004732440593e-05
"107211",107211,"unit state illeg",4,57,61,1.8758228043164e-05
"52152",52152,"consider motion proceed",54,3,57,1.85882081393951e-05
"79002",79002,"mani commun across",54,3,57,1.85882081393951e-05
"106590",106590,"unanim consent bring",54,3,57,1.85882081393951e-05
"103831",103831,"text bill print",157,58,215,1.85660744124893e-05
"57873",57873,"day date enact",5,59,64,1.85599097605372e-05
"11645",11645,"amend read third",66,8,74,1.85177098090267e-05
"69277",69277,"health educ labor",200,86,286,1.8505214915265e-05
"82505",82505,"mr speaker unavoid",89,19,108,1.84806517534585e-05
"93548",93548,"reed rhode island",51,2,53,1.84539969258889e-05
"109396",109396,"vote without interven",51,2,53,1.84539969258889e-05
"17912",17912,"arm servic author",102,26,128,1.83802560480441e-05
"73752",73752,"join honor life",56,4,60,1.83580215258392e-05
"89518",89518,"pm conduct hear",70,10,80,1.83304166046013e-05
"97113",97113,"senat agricultur committe",100,25,125,1.83294084230136e-05
"108817",108817,"victim domest violenc",100,25,125,1.83294084230136e-05
"95995",95995,"san francisco bay",72,11,83,1.8261641255167e-05
"90694",90694,"prevent health care",53,3,56,1.81854705421496e-05
